,Afghanistan,Albania,Advanced Economies,United Arab Emirates,Armenia,Antigua and Barbuda,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Barbados,Brunei Darussalam,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,Fiji,France,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Greece,Grenada,Guatemala,Guyana,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.","Lao, PDR",EMDE Latin America & Caribbean,Lebanon,Liberia,Libya,St. Lucia,Low-Income Countries (LIC),Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Mali,Malta,Montenegro,Mongolia,EMDE Middle East & N. Africa,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,EMDE South Asia,Saudi Arabia,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Serbia,EMDE Sub-Saharan Africa,Sao Tome and Principe,Suriname,Slovakia,Slovenia,Sweden,Eswatini,Seychelles,Togo,Thailand,Tajikistan,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China",Uganda,Uruguay,United States,St. Vincent and the Grenadines,Vietnam,World (WBG members),Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,NA,38.09668,75.33114,NA,16.54611,NA,76.47833,8.605199,14.95146,74.99181,93.42381,94.18342,39.84088,1.020982,NA,74.26114,NA,0.045101,43.55588,22.61084,60.01299,NA,27.79047,57.73547,74.46423,87.17014,53.09836,64.26607,95.54309,0.002015,23.76552,NA,60.67927,17.02952,66.6658,51.7027,79.84918,NA,74.38044,72.70742,21.04882,39.49406,58.50866,7.505949,5.693496,33.16126,38.76451,64.85788,33.4962,79.68979,59.77378,79.00506,74.54029,10.87806,3.851259,NA,44.3051,49.66449,54.24162,69.68706,33.86744,38.92693,74.28161,82.70975,18.23209,60.11827,15.14506,22.81559,18.16271,35.68721,68.16262,47.71756,54.85446,68.62798,17.33963,58.31432,101.1503,7.616809,31.14295,NA,45.23866,NA,58.58197,58.30609,5.383997,25.06577,NA,NA,NA,66.35932,NA,NA,37.0938,74.38282,34.04139,73.03005,11.73595,16.47,61.18542,19.78143,37.82365,63.87568,91.68159,68.26278,NA,17.29095,NA,NA,40.35053,40.25478,4.697543,66.98524,NA,91.21667,10.27021,NA,73.66896,72.2864,NA,29.23807,72.845,51.66643,42.75129,32.94639,67.31659,27.92193,NA,NA,2.075138,2.197688,NA,35.37846,82.23941,95.27924,81.67215,25.66631,NA,53.99077,NA,1.606467,31.52245,NA,2.270939,40.3242,40.25569,82.89414,31.22954,40.40866,95.46748,60.38119,NA,40.22819,43.23362,58.60621,0.683633,82.52492,40.03793,16.70355,68.40512,67.67337,NA,63.47918,51.73184,NA,NA,40.79898,5.134432
1995,NA,41.05987,77.1127,NA,45.59244,NA,78.15917,44.03412,17.8316,76.09333,106.9374,101.2065,43.95006,1.655065,NA,75.79611,NA,0.362545,47.99515,37.53558,61.14055,NA,30.71298,68.81457,76.06429,88.73905,57.46977,75.05522,109.2061,0.012948,28.73134,88.32766,65.74689,20.97537,68.40718,56.46847,81.29057,NA,75.36043,74.21761,23.68452,51.27135,67.50204,12.4188,6.99685,38.42183,46.43866,67.8901,43.12362,80.49743,61.06922,80.42437,76.50076,28.55708,6.141457,NA,47.39803,72.19508,59.08813,71.79677,36.71574,43.68012,76.20185,90.18141,23.59813,61.2983,19.00154,29.27365,19.87266,39.33604,69.90496,48.50738,60.36351,72.24331,20.77606,59.67786,101.0625,21.03542,31.63915,17.81952,44.46142,NA,60.31413,60.91864,6.441454,35.39954,NA,NA,NA,70.09512,NA,NA,51.80061,75.88621,42.53813,77.63555,15.22967,24.55351,64.54759,26.70479,45.70077,74.33449,103.8822,70.67877,NA,17.29839,NA,NA,42.99099,42.66454,8.611808,69.3159,NA,100.8512,17.7656,NA,75.08793,74.06491,NA,32.84468,73.60617,57.41718,45.70447,42.19753,70.15925,31.68537,NA,NA,2.743657,6.533733,35.74787,39.04949,86.4629,102.7721,83.08095,28.13777,NA,59.40611,NA,2.699191,36.86604,NA,7.62021,44.31261,45.71928,84.99005,35.06721,40.29265,104.6165,63.88058,NA,40.81553,45.51282,62.23762,1.295935,85.55039,42.66045,23.7621,70.32417,68.84979,41.9268,67.14339,50.22979,NA,NA,44.33542,6.919976
1996,NA,46.31877,78.83697,NA,54.08761,NA,79.62738,52.74905,22.5457,77.66277,111.4734,107.3845,44.99468,3.667747,NA,76.84143,NA,0.554226,53.96075,43.45031,62.59946,NA,33.8087,71.37787,77.25891,89.45928,61.699,81.29331,112.0319,0.09825,34.70614,NA,69.6678,24.64936,70.44414,61.41441,82.41695,NA,76.62435,75.81878,24.9632,60.85876,72.91141,16.12308,8.706882,41.19961,51.33382,70.30591,53.07139,80.98385,62.93503,82.01909,78.35599,39.79275,9.000633,NA,47.91916,108.8139,63.93011,73.25595,40.77533,46.77908,78.0098,95.88435,29.22508,63.53196,22.7372,36.14389,21.45877,42.86758,71.14572,49.59982,67.17047,75.06327,26.28866,63.57943,101.203,29.27737,34.44475,23.51236,47.64327,NA,61.57262,63.9186,7.281028,41.78734,NA,NA,NA,70.74339,NA,NA,64.55661,76.78638,50.25418,79.88913,18.81069,29.40439,68.57492,35.88547,50.67835,76.1681,110.7512,72.74633,NA,25.40966,NA,NA,45.00352,45.48832,11.85002,71.74715,NA,106.1837,22.97101,NA,76.57725,75,NA,36.25085,74.50573,64.0483,49.49527,50.56162,72.31242,34.78261,54.52157,NA,3.805619,9.653727,37.8624,42.42441,86.6963,105.6142,84.22666,31.45082,NA,65.22219,NA,5.279642,40.77522,9.04712,7.566483,46.86943,50.25425,85.39033,37.32035,39.85847,109.0513,67.60048,NA,42.03807,47.00855,64.60957,2.335746,88.18285,45.72838,30.49331,72.38551,71.88462,44.30619,69.88484,52.92945,NA,NA,47.60305,9.91969
1997,NA,61.65049,80.50089,NA,61.53493,NA,80.66019,54.68673,29.56003,78.92724,68.822,73.82743,47.33585,42.48623,NA,77.25958,NA,0.909832,56.50179,46.45999,67.42621,NA,36.75683,72.52799,78.51144,89.92467,65.48356,83.55964,70.77308,0.228984,41.11801,NA,75.62863,27.91611,72.98558,66.69369,84.03016,NA,78.49114,77.47453,27.03495,64.36291,75.14978,19.7073,11.37608,42.9941,54.18659,71.69116,58.68938,81.95668,65.0522,83.00655,79.78568,42.64249,11.38695,NA,49.2519,NA,67.46929,74.16763,44.54098,48.44238,79.76193,101.4626,35.1285,65.88841,27.91438,42.76005,22.79721,45.93887,72.14889,50.49051,73.21659,76.59074,28.82302,65.49007,102.9241,34.37398,38.3355,29.02255,51.45124,NA,67.05577,66.75591,9.283386,46.21186,NA,NA,NA,70.73948,41.73752,NA,70.28991,77.83642,54.5207,80.68631,21.04825,30.72358,73.76902,43.28707,53.48986,77.15382,76.21816,75.01074,NA,34.69727,NA,NA,47.08508,48.58811,12.9328,73.63347,NA,75.18577,25.42261,NA,78.19245,76.92519,NA,40.37625,75.44484,69.52234,52.26589,58.18773,74.00226,37.19028,58.67799,NA,9.699556,11.07875,42.20801,45.55006,86.4832,80.76382,85.93063,33.9933,NA,68.15097,NA,6.510213,40.60135,12.29232,8.107148,49.74376,54.44661,85.8323,39.97955,40.10705,72.90076,71.40666,NA,42.93126,48.72982,66.95004,4.336378,88.98099,49.28996,36.53527,74.07766,72.2035,45.72817,71.92906,56.56137,NA,29.97485,51.68907,12.34009
1998,NA,74.38309,81.69722,NA,66.88036,80.59185,81.46011,54.26443,33.25515,79.67646,72.77964,77.46151,51.25898,50.41937,NA,78.29224,NA,1.577678,60.83758,47.94442,66.57065,NA,39.20563,71.1607,79.29337,89.94081,68.82992,82.91428,74.00816,0.29573,48.79574,NA,78.95194,31.17177,74.61081,73.82883,84.75563,NA,79.27538,78.88464,28.34093,67.55017,76.52565,23.63577,15.48353,44.81318,56.97242,73.00628,63.50578,83.11307,68.78384,83.54703,81.02826,44.16235,13.23399,NA,49.80066,NA,70.68507,75.18944,47.48812,50.66418,81.04674,104.3311,39.92991,70.29614,29.3852,48.81222,36.12154,52.0165,73.93523,51.35021,77.1958,78.10918,31.30011,67.51373,103.5915,36.83046,40.41922,32.05764,59.05603,NA,69.36675,71.77166,17.7271,49.77029,NA,NA,NA,73.00452,43.43386,NA,73.85189,78.583,57.0443,82.94476,22.68717,32.63091,72.73069,50.182,56.20592,77.57388,79.31894,76.80051,NA,37.94389,NA,NA,50.86682,51.90021,16.78014,77.53186,NA,78.57396,27.42008,NA,79.7299,78.65787,NA,42.89027,75.91934,74.56612,57.1628,65.00054,75.90616,41.49135,61.95227,NA,15.44723,14.14597,44.8311,51.17108,86.11788,81.70539,85.69779,38.2083,NA,69.88832,NA,8.473673,43.26432,18.50262,9.645577,53.05816,58.77421,85.71556,43.22188,41.14779,73.61868,77.09196,NA,44.33702,51.46011,69.02813,8.010187,90.47926,49.49423,40.48409,75.22756,73.75041,49.05083,73.6354,57.81638,NA,32.13659,55.24492,15.37155
1999,NA,74.6966,82.743,NA,67.36374,81.49921,81.91576,49.63841,34.40066,80.56951,73.02118,76.62907,54.4518,51.71666,NA,79.27422,NA,6.207501,62.15229,50.27377,67.60919,NA,42.24359,70.15435,80.66898,90.66613,71.12669,81.75134,74.53652,1.13825,54.10215,69.67099,82.39141,34.30093,75.91533,75.40541,85.29019,69.87999,80.21042,80.84061,30.17761,69.3412,76.57167,31.55107,23.57147,46.11603,59.63275,74.69252,65.60538,84.12261,70.13728,83.9958,82.10489,52.61658,13.88334,NA,51.69925,NA,72.54875,75.6236,49.96185,54.48338,82.14056,100.1927,44.58723,73.13109,30.26804,53.69234,43.51546,54.44562,75.0792,53.00369,81.2057,79.40166,33.16151,67.91719,103.2315,39.88593,42.76263,43.5663,61.39234,NA,71.69958,72.35514,40.49701,53.83665,NA,NA,NA,75.56245,45.34249,NA,74.3892,79.38822,58.39688,83.49585,31.57376,35.28266,74.87884,58.50501,58.89634,76.58134,78.39609,78.43585,NA,40.8144,NA,NA,52.93921,55.45648,24.29834,79.65292,NA,76.97275,29.23495,44.2848,81.43859,80.51889,NA,44.66541,76.8881,77.15311,60.70662,69.70435,77.68243,44.28471,65.38677,NA,22.53356,26.27564,43.75247,53.58533,84.28925,82.35656,85.71763,41.27275,NA,70.24675,NA,12.07108,45.42724,20.85689,19.17348,58.67313,62.37152,86.10472,45.8536,43.75437,73.55507,77.27412,NA,46.31639,53.217,70.88581,13.20637,90.63795,52.34252,42.77547,76.87355,74.49788,51.07046,75.20008,57.96966,NA,NA,58.10633,19.48227
2000,NA,74.73706,84.39814,NA,66.84227,82.12296,83.80923,50.53443,42.80544,82.61962,76.08696,76.49481,55.74545,57.05189,NA,80.54763,NA,16.67187,65.012,53.81513,69.25603,95.09769,45.89744,72.40166,82.86273,92.07919,73.86031,82.04154,76.40897,6.987784,59.09355,69.70298,80.35022,38.06147,79.10512,78.25225,86.48339,71.4168,80.89778,83.20597,32.507,69.58353,77.15569,37.88155,46.22245,47.34513,62.29498,77.25642,68.23659,86.94934,70.89134,85.40353,82.75882,54.71503,19.46109,NA,52.13609,NA,74.83478,77.27355,52.94888,57.8333,83.87356,96.46259,49.51324,76.49874,33.09303,58.95869,45.12033,56.62884,79.28546,55.7173,82.11913,81.39009,35.82474,68.37347,102.5202,45.14325,47.029,52.14392,60.91428,NA,73.24031,73.98976,49.96075,58.13738,NA,NA,NA,78.36641,47.74649,NA,75.11942,81.88952,59.94009,85.0951,41.40761,39.04821,73.99922,64.05804,61.45886,81.64148,77.78701,80.29809,NA,45.54677,NA,NA,54.6619,57.81316,31.48615,80.91885,NA,79.01628,31.26394,47.4157,83.37313,83.0033,NA,46.61872,78.02491,80.05291,64.67998,76.71648,79.89874,48.25853,67.21533,NA,32.83488,31.74065,45.45864,55.6915,83.41654,82.97254,86.87356,44.18519,NA,71.84389,NA,20.65611,48.18271,23.40227,30.56238,65.73084,67.94421,86.96643,51.45165,46.4798,74.93639,78.58759,29.0404,49.24712,55.09259,73.00588,20.47452,91.76935,54.11623,44.81789,79.46947,74.62282,50.19696,77.17705,58.5301,NA,NA,61.21266,24.55322
2001,NA,77.03277,86.10106,NA,68.95441,83.27678,86.04698,51.32244,46.78471,84.65971,79.11557,80.09309,56.82533,61.25145,NA,82.1948,NA,26.90293,66.04949,57.49628,71.04133,95.66437,48.88462,75.17816,84.95511,92.98987,76.49644,82.61868,79.74601,32.13938,63.799,73.57473,83.04191,42.34687,80.66622,81.9009,88.23024,72.66527,81.9526,85.18013,35.39441,72.50682,78.29138,45.38118,63.63622,48.42675,65.3755,80.02962,72.1619,89.17034,73.92691,86.79969,83.77966,57.29706,27.53913,NA,54.47836,NA,77.35969,78.55329,56.80557,59.35282,85.62284,94.9093,54.29907,79.38787,37.49993,64.36112,50.29396,58.76873,83.12214,59.28072,83.03545,83.68583,38.25888,69.58386,101.8089,48.91458,49.72021,55.75203,60.51014,NA,74.92733,76.99861,53.82267,62.01469,NA,41.67428,92.2491,82.52549,51.26853,NA,76.14639,84.07153,61.41975,85.53787,45.39779,42.13963,74.49719,68.13708,64.5459,85.88579,81.81986,82.6498,NA,48.4061,75.09452,NA,57.23915,60.93418,38.6335,82.05064,58.7007,82.13022,37.16345,50.25402,86.8405,85.49688,75.1175,48.28512,78.28193,81.63431,68.1701,80.92917,83.39023,51.78822,68.03786,NA,44.14783,38.5576,46.97825,57.72435,82.48295,85.45407,87.75482,47.22757,NA,74.53455,NA,40.28049,52.78723,25.56108,42.35392,70.39884,73.63771,89.09014,54.50897,49.25444,77.88986,79.85312,40.25097,53.32984,58.17901,74.43325,31.58116,91.76655,55.15579,46.7704,81.71541,75.29507,49.98031,79.32247,60.77666,NA,40.2706,64.69683,29.79081
2002,NA,81.02751,87.29187,NA,69.67015,85.28225,87.60632,52.73777,46.14579,86.05255,81.03865,81.95489,58.74356,64.81024,NA,83.98139,NA,38.40723,66.65909,62.35481,71.14831,93.44977,52.79487,76.93118,86.87373,93.58752,78.40072,82.01122,82.18391,42.27054,67.85,76.17409,84.60686,46.22947,82.92507,83.45946,89.49026,73.12899,82.09197,87.24527,37.24177,73.55097,78.55624,52.57143,71.58132,49.7296,68.17774,82.51391,74.73297,90.57452,74.50696,88.46921,84.83437,60.5095,30.11433,NA,59.16847,88.42945,80.16738,79.39164,61.42701,62.52287,86.85068,92.01814,58.48131,80.71506,40.13726,67.76241,56.28065,61.82665,86.95882,62.34968,87.75804,85.72849,40.9937,70.85974,100.8957,51.76969,50.6987,56.94194,60.64067,NA,76.45668,79.12551,59.54577,66.07614,NA,47.57576,83.21085,82.31461,54.79911,62.04326,76.36075,85.81323,62.61801,88.04235,47.78268,49.09205,77.61098,71.56487,67.40238,86.80443,85.93577,85.10187,NA,48.85006,75.37362,NA,59.46903,64.862,44.32987,83.54292,63.17672,84.19144,41.94948,52.13863,89.67844,86.59699,74.90962,50.06419,79.24081,81.79095,70.0494,82.46697,86.39257,57.21131,71.91855,NA,54.0801,44.64535,47.91436,60.60026,82.57428,87.4428,87.4113,52.02441,NA,75.92759,84.87525,48.13149,57.51381,28.14921,48.93093,72.73841,79.14638,91.01093,61.06079,49.34065,80.26172,80.38043,45.17954,58.85431,60.58879,76.46935,45.83501,91.58639,54.99047,53.30337,83.01144,76.69216,51.846,81.03559,65.66937,88.77841,45.19913,70.63321,36.43304
