,Year,Albania,Advanced Economies,Armenia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Cote d'Ivoire,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,Fiji,France,United Kingdom,Georgia,Ghana,"Gambia, The",Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kenya,Cambodia,"Korea, Rep.","Lao, PDR",EMDE Latin America & Caribbean,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Mali,Malta,Mongolia,Mauritius,Malaysia,Niger,Nigeria,Netherlands,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Senegal,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Suriname,Slovakia,Slovenia,Sweden,Seychelles,Togo,Thailand,Tonga,Tunisia,Turkey,"Taiwan, China",Uganda,Uruguay,United States,World (WBG members),South Africa,Zambia
1,1994.0,38.09668,75.33114,16.54611,76.47833,8.605199,14.95146,74.99181,93.42381,94.18342,39.84088,1.020982,0.045101,43.55588,22.61084,27.79047,74.46423,87.17014,53.09836,64.26607,95.54309,23.76552,17.02952,66.6658,51.7027,79.84918,72.70742,21.04882,39.49406,58.50866,7.505949,5.693496,33.16126,38.76451,64.85788,33.4962,79.68979,59.77378,79.00506,74.54029,10.87806,3.851259,44.3051,54.24162,33.86744,74.28161,82.70975,18.23209,60.11827,15.14506,22.81559,18.16271,35.68721,68.16262,47.71756,54.85446,68.62798,17.33963,58.31432,101.1503,31.14295,45.23866,58.30609,5.383997,25.06577,37.0938,74.38282,34.04139,73.03005,11.73595,61.18542,19.78143,37.82365,63.87568,91.68159,68.26278,17.29095,40.25478,66.98524,91.21667,10.27021,73.66896,72.2864,29.23807,72.845,51.66643,42.75129,32.94639,67.31659,27.92193,2.075138,2.197688,35.37846,82.23941,95.27924,81.67215,53.99077,1.606467,31.52245,2.270939,40.3242,40.25569,82.89414,40.40866,95.46748,60.38119,40.22819,58.60621,0.683633,82.52492,40.03793,16.70355,68.40512,63.47918,40.79898,5.134432
2,1995.0,41.05987,77.1127,45.59244,78.15917,44.03412,17.8316,76.09333,106.9374,101.2065,43.95006,1.655065,0.362545,47.99515,37.53558,30.71298,76.06429,88.73905,57.46977,75.05522,109.2061,28.73134,20.97537,68.40718,56.46847,81.29057,74.21761,23.68452,51.27135,67.50204,12.4188,6.99685,38.42183,46.43866,67.8901,43.12362,80.49743,61.06922,80.42437,76.50076,28.55708,6.141457,47.39803,59.08813,36.71574,76.20185,90.18141,23.59813,61.2983,19.00154,29.27365,19.87266,39.33604,69.90496,48.50738,60.36351,72.24331,20.77606,59.67786,101.0625,31.63915,44.46142,60.91864,6.441454,35.39954,51.80061,75.88621,42.53813,77.63555,15.22967,64.54759,26.70479,45.70077,74.33449,103.8822,70.67877,17.29839,42.66454,69.3159,100.8512,17.7656,75.08793,74.06491,32.84468,73.60617,57.41718,45.70447,42.19753,70.15925,31.68537,2.743657,6.533733,39.04949,86.4629,102.7721,83.08095,59.40611,2.699191,36.86604,7.62021,44.31261,45.71928,84.99005,40.29265,104.6165,63.88058,40.81553,62.23762,1.295935,85.55039,42.66045,23.7621,70.32417,67.14339,44.33542,6.919976
3,1996.0,46.31877,78.83697,54.08761,79.62738,52.74905,22.5457,77.66277,111.4734,107.3845,44.99468,3.667747,0.554226,53.96075,43.45031,33.8087,77.25891,89.45928,61.699,81.29331,112.0319,34.70614,24.64936,70.44414,61.41441,82.41695,75.81878,24.9632,60.85876,72.91141,16.12308,8.706882,41.19961,51.33382,70.30591,53.07139,80.98385,62.93503,82.01909,78.35599,39.79275,9.000633,47.91916,63.93011,40.77533,78.0098,95.88435,29.22508,63.53196,22.7372,36.14389,21.45877,42.86758,71.14572,49.59982,67.17047,75.06327,26.28866,63.57943,101.203,34.44475,47.64327,63.9186,7.281028,41.78734,64.55661,76.78638,50.25418,79.88913,18.81069,68.57492,35.88547,50.67835,76.1681,110.7512,72.74633,25.40966,45.48832,71.74715,106.1837,22.97101,76.57725,75.0,36.25085,74.50573,64.0483,49.49527,50.56162,72.31242,34.78261,3.805619,9.653727,42.42441,86.6963,105.6142,84.22666,65.22219,5.279642,40.77522,7.566483,46.86943,50.25425,85.39033,39.85847,109.0513,67.60048,42.03807,64.60957,2.335746,88.18285,45.72838,30.49331,72.38551,69.88484,47.60305,9.91969
4,1997.0,61.65049,80.50089,61.53493,80.66019,54.68673,29.56003,78.92724,68.822,73.82743,47.33585,42.48623,0.909832,56.50179,46.45999,36.75683,78.51144,89.92467,65.48356,83.55964,70.77308,41.11801,27.91611,72.98558,66.69369,84.03016,77.47453,27.03495,64.36291,75.14978,19.7073,11.37608,42.9941,54.18659,71.69116,58.68938,81.95668,65.0522,83.00655,79.78568,42.64249,11.38695,49.2519,67.46929,44.54098,79.76193,101.4626,35.1285,65.88841,27.91438,42.76005,22.79721,45.93887,72.14889,50.49051,73.21659,76.59074,28.82302,65.49007,102.9241,38.3355,51.45124,66.75591,9.283386,46.21186,70.28991,77.83642,54.5207,80.68631,21.04825,73.76902,43.28707,53.48986,77.15382,76.21816,75.01074,34.69727,48.58811,73.63347,75.18577,25.42261,78.19245,76.92519,40.37625,75.44484,69.52234,52.26589,58.18773,74.00226,37.19028,9.699556,11.07875,45.55006,86.4832,80.76382,85.93063,68.15097,6.510213,40.60135,8.107148,49.74376,54.44661,85.8323,40.10705,72.90076,71.40666,42.93126,66.95004,4.336378,88.98099,49.28996,36.53527,74.07766,71.92906,51.68907,12.34009
5,1998.0,74.38309,81.69722,66.88036,81.46011,54.26443,33.25515,79.67646,72.77964,77.46151,51.25898,50.41937,1.577678,60.83758,47.94442,39.20563,79.29337,89.94081,68.82992,82.91428,74.00816,48.79574,31.17177,74.61081,73.82883,84.75563,78.88464,28.34093,67.55017,76.52565,23.63577,15.48353,44.81318,56.97242,73.00628,63.50578,83.11307,68.78384,83.54703,81.02826,44.16235,13.23399,49.80066,70.68507,47.48812,81.04674,104.3311,39.92991,70.29614,29.3852,48.81222,36.12154,52.0165,73.93523,51.35021,77.1958,78.10918,31.30011,67.51373,103.5915,40.41922,59.05603,71.77166,17.7271,49.77029,73.85189,78.583,57.0443,82.94476,22.68717,72.73069,50.182,56.20592,77.57388,79.31894,76.80051,37.94389,51.90021,77.53186,78.57396,27.42008,79.7299,78.65787,42.89027,75.91934,74.56612,57.1628,65.00054,75.90616,41.49135,15.44723,14.14597,51.17108,86.11788,81.70539,85.69779,69.88832,8.473673,43.26432,9.645577,53.05816,58.77421,85.71556,41.14779,73.61868,77.09196,44.33702,69.02813,8.010187,90.47926,49.49423,40.48409,75.22756,73.6354,55.24492,15.37155
6,1999.0,74.6966,82.743,67.36374,81.91576,49.63841,34.40066,80.56951,73.02118,76.62907,54.4518,51.71666,6.207501,62.15229,50.27377,42.24359,80.66898,90.66613,71.12669,81.75134,74.53652,54.10215,34.30093,75.91533,75.40541,85.29019,80.84061,30.17761,69.3412,76.57167,31.55107,23.57147,46.11603,59.63275,74.69252,65.60538,84.12261,70.13728,83.9958,82.10489,52.61658,13.88334,51.69925,72.54875,49.96185,82.14056,100.1927,44.58723,73.13109,30.26804,53.69234,43.51546,54.44562,75.0792,53.00369,81.2057,79.40166,33.16151,67.91719,103.2315,42.76263,61.39234,72.35514,40.49701,53.83665,74.3892,79.38822,58.39688,83.49585,31.57376,74.87884,58.50501,58.89634,76.58134,78.39609,78.43585,40.8144,55.45648,79.65292,76.97275,29.23495,81.43859,80.51889,44.66541,76.8881,77.15311,60.70662,69.70435,77.68243,44.28471,22.53356,26.27564,53.58533,84.28925,82.35656,85.71763,70.24675,12.07108,45.42724,19.17348,58.67313,62.37152,86.10472,43.75437,73.55507,77.27412,46.31639,70.88581,13.20637,90.63795,52.34252,42.77547,76.87355,75.20008,58.10633,19.48227
7,2000.0,74.73706,84.39814,66.84227,83.80923,50.53443,42.80544,82.61962,76.08696,76.49481,55.74545,57.05189,16.67187,65.012,53.81513,45.89744,82.86273,92.07919,73.86031,82.04154,76.40897,59.09355,38.06147,79.10512,78.25225,86.48339,83.20597,32.507,69.58353,77.15569,37.88155,46.22245,47.34513,62.29498,77.25642,68.23659,86.94934,70.89134,85.40353,82.75882,54.71503,19.46109,52.13609,74.83478,52.94888,83.87356,96.46259,49.51324,76.49874,33.09303,58.95869,45.12033,56.62884,79.28546,55.7173,82.11913,81.39009,35.82474,68.37347,102.5202,47.029,60.91428,73.98976,49.96075,58.13738,75.11942,81.88952,59.94009,85.0951,41.40761,73.99922,64.05804,61.45886,81.64148,77.78701,80.29809,45.54677,57.81316,80.91885,79.01628,31.26394,83.37313,83.0033,46.61872,78.02491,80.05291,64.67998,76.71648,79.89874,48.25853,32.83488,31.74065,55.6915,83.41654,82.97254,86.87356,71.84389,20.65611,48.18271,30.56238,65.73084,67.94421,86.96643,46.4798,74.93639,78.58759,49.24712,73.00588,20.47452,91.76935,54.11623,44.81789,79.46947,77.17705,61.21266,24.55322
8,2001.0,77.03277,86.10106,68.95441,86.04698,51.32244,46.78471,84.65971,79.11557,80.09309,56.82533,61.25145,26.90293,66.04949,57.49628,48.88462,84.95511,92.98987,76.49644,82.61868,79.74601,63.799,42.34687,80.66622,81.9009,88.23024,85.18013,35.39441,72.50682,78.29138,45.38118,63.63622,48.42675,65.3755,80.02962,72.1619,89.17034,73.92691,86.79969,83.77966,57.29706,27.53913,54.47836,77.35969,56.80557,85.62284,94.9093,54.29907,79.38787,37.49993,64.36112,50.29396,58.76873,83.12214,59.28072,83.03545,83.68583,38.25888,69.58386,101.8089,49.72021,60.51014,76.99861,53.82267,62.01469,76.14639,84.07153,61.41975,85.53787,45.39779,74.49719,68.13708,64.5459,85.88579,81.81986,82.6498,48.4061,60.93418,82.05064,82.13022,37.16345,86.8405,85.49688,48.28512,78.28193,81.63431,68.1701,80.92917,83.39023,51.78822,44.14783,38.5576,57.72435,82.48295,85.45407,87.75482,74.53455,40.28049,52.78723,42.35392,70.39884,73.63771,89.09014,49.25444,77.88986,79.85312,53.32984,74.43325,31.58116,91.76655,55.15579,46.7704,81.71541,79.32247,64.69683,29.79081
9,2002.0,81.02751,87.29187,69.67015,87.60632,52.73777,46.14579,86.05255,81.03865,81.95489,58.74356,64.81024,38.40723,66.65909,62.35481,52.79487,86.87373,93.58752,78.40072,82.01122,82.18391,67.85,46.22947,82.92507,83.45946,89.49026,87.24527,37.24177,73.55097,78.55624,52.57143,71.58132,49.7296,68.17774,82.51391,74.73297,90.57452,74.50696,88.46921,84.83437,60.5095,30.11433,59.16847,80.16738,61.42701,86.85068,92.01814,58.48131,80.71506,40.13726,67.76241,56.28065,61.82665,86.95882,62.34968,87.75804,85.72849,40.9937,70.85974,100.8957,50.6987,60.64067,79.12551,59.54577,66.07614,76.36075,85.81323,62.61801,88.04235,47.78268,77.61098,71.56487,67.40238,86.80443,85.93577,85.10187,48.85006,64.862,83.54292,84.19144,41.94948,89.67844,86.59699,50.06419,79.24081,81.79095,70.0494,82.46697,86.39257,57.21131,54.0801,44.64535,60.60026,82.57428,87.4428,87.4113,75.92759,48.13149,57.51381,48.93093,72.73841,79.14638,91.01093,49.34065,80.26172,80.38043,58.85431,76.46935,45.83501,91.58639,54.99047,53.30337,83.01144,81.03559,70.63321,36.43304
10,2003.0,82.95914,88.78344,72.93224,88.77076,53.8565,51.05914,87.41989,82.27425,83.63767,62.04384,66.33238,49.35817,68.88422,71.53027,57.64103,89.2702,94.18487,80.60395,82.93702,84.91843,72.68447,50.59476,86.3593,83.55856,90.3971,89.05568,47.46996,75.42964,79.82168,58.90621,77.25697,52.01573,71.77225,85.02141,75.7341,91.38216,77.61021,90.32571,85.98947,63.39378,40.59274,69.24655,82.99776,64.86838,88.36098,89.63719,62.96729,82.14157,51.65648,70.92458,60.10332,64.4998,90.01232,63.63528,88.34561,88.05134,45.14605,72.52112,100.6322,55.65449,61.20363,81.90668,68.76881,72.57031,75.49458,87.57354,64.46078,89.01674,53.33672,76.63444,74.81883,71.14579,87.5471,84.81912,85.56018,51.35564,67.38854,84.39805,82.96178,47.83768,91.56948,88.75138,51.50396,80.37762,83.64041,71.60653,83.12216,89.17354,65.35764,62.39237,50.74537,63.19402,82.97004,87.4076,87.837,77.538,52.88504,62.17455,60.18619,78.96056,83.53439,92.76494,50.97017,79.51654,81.83771,65.70414,78.53694,57.44815,91.32874,59.7778,63.63301,84.89588,83.20913,74.64904,44.21801
