Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,345.977479,270.6023637,244.9666907,206.3560065,22.9846435,20.13663136,19.05707572,16.24726137,7.69694932,7.501084371,6.759467879,6.904479171,8.70029105,9.154082857,8.437266097,7.997660199,7.384412942,6.130409903,7.39749473,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.62986297,29.35958707,34.69008977,51.40934283,57.01023542,57.78952636,63.37646291,60.60972921,64.0974016,60.2399058,57.47288406,58.1995534,56.69031821,53.55012424,55.14021079,59.67018035,57.71025068,59.39981185,62.11995289,65.53000174,70.03000162,72.670076,72.38004424,70.11993217,67.61001652,65.72986791,74.44966943,73.16706592
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.03609649,31.82592255,27.50874655,33.39184723,32.52191583,36.62459481,43.30934386,54.44241886,70.34186054,65.19520108,55.59724867,44.72541335,44.50289252,46.75533983,47.31210954,47.0497155,60.53462103,69.38059982,83.46878715,78.43524263,69.04344288,71.65190902,70.12542239,97.52860864,97.99065834,104.0414803,98.40914732,86.34637465,86.70358708,75.61860078,57.96034348,54.267336,51.27632976,41.3889511,35.21085548,26.31138467,23.63561987,13.50594327,8.056428025,9.774736373,10.4916011,9.254304882,9.325658289,7.093511132,7.658320146,8.733313712,20.43828686,26.80830309,38.25615076,46.04436616,52.2727002,62.98681354
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,181.6019888,120.9567146,96.59250265,126.6744506,137.8328326,133.9141396,113.5045839,73.73617503,57.96783968,47.7170673,33.46404183,18.72879033,21.04349445,31.37823243,56.30224695,37.16284025,29.55771502,26.69055968,33.14910364,39.80985691,57.09304822,75.66263732,69.32286758,92.99500121,113.5541748,136.5401246,86.41135998
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,98.0704858,99.07439214,95.47935778,90.1463216,89.65547338,98.32245928,91.67363112,87.0222844,102.608814,104.6025711,105.1323732,117.9507508,126.3003585,125.0759935,120.1270692,92.61438311,89.10089677,77.78401605,75.98919769,100.6319845,89.74199583,91.80300788,87.49408921,95.79104783,101.369132,99.07128775,86.12589358,92.19273211,87.69958735,81.25083661,101.4769561,101.3730034
Argentina,20.5,17.4,18.7,21.4,23.9,24.1,22,19.7,17.2,10.2,8.4,8.7,25.1,21.58932471,15.49872516,14.66970659,12.36207794,10.05580407,8.67220349,8.853842521,12.45086463,14.02101905,15.77706602,11.06967695,11.99212505,31.17865535,26.48624,23.15940842,16.14350971,11.43982237,10.51802105,24.44593924,50.91728324,59.22908611,50.37002251,62.64001124,51.56957246,68.35967022,56.64350219,109.0433514,44.74283018,32.93441363,27.76823068,26.89271391,28.42598327,30.74937987,32.55075272,31.67579873,34.14687999,38.91698626,40.83283885,48.00661871,147.2025483,125.1616342,117.8778484,80.28179898,70.79268956,62.13271077,53.81385162,55.39708036,43.45431548,38.93485442,40.43604801,43.49606978,44.6968502,52.56264331,53.06017955,57.02784192,85.24631086,88.83502123,102.789702,80.9324681
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.79192232,46.51459222,45.20030519,39.20037787,39.59711599,38.06111594,38.2476038,33.015776,26.44587792,20.46716654,16.18289655,14.24950348,14.63183489,34.13796317,33.75701715,35.70239755,35.60048727,36.33062468,39.36163358,44.13299091,51.92890342,53.70443393,51.2325602,50.08589639,63.47625823,60.24793648
Australia,109.6895827,86.99944854,85.97252875,79.77787663,76.76285555,74.89869084,71.73990138,67.64986803,65.97768107,62.32037657,48.2836394,49.32423482,50.27584358,47.53560657,44.96241352,43.69131282,42.43488042,40.49025279,39.45117301,36.76062226,34.92544085,32.2546391,30.68822325,27.33161202,22.3419898,23.61105659,22.95727251,23.61311633,24.70590561,22.86346082,21.21959073,19.11160536,16.8210854,20.97552146,22.28943994,24.00559562,25.49103999,25.22578279,20.49877699,16.00649796,12.08503338,11.91733383,14.27810474,17.69830137,19.90627855,22.13703785,21.39656018,20.52495884,16.29387977,15.44811783,13.70323261,11.98850214,10.3147381,8.974949119,8.080256603,7.346617947,6.551872885,6.070757989,7.603162402,11.4934361,14.24124422,16.98856473,19.23665911,21.24522391,24.59558108,28.45178529,31.61657114,32.3694475,32.92032468,36.54350737,43.7260125,43.95367884
Austria,20.92678805,14.4394157,12.84172605,15.71137676,13.66810515,11.37848587,10.45499647,7.946613136,10.91844288,12.99501472,13.12893848,11.8475607,11.48084747,11.59431141,11.54315932,10.99222745,10.4484527,11.60172769,12.44010059,12.47241821,11.99196199,10.59175366,9.863286626,9.826597335,9.424919784,14.51583395,17.52046874,19.48527276,22.33115332,23.72479442,24.9814245,26.53018652,28.59106527,32.69018392,35.14931975,37.31294807,41.66267821,45.37288905,45.36107501,45.44426872,45.53072018,46.22193392,46.2827191,50.04414856,52.72630791,55.24811504,55.61167695,56.83437913,56.83979249,57.87277545,56.50813833,55.05634282,54.66859373,54.72122486,55.93189637,55.6249139,54.23889683,51.89697793,55.1368302,58.57262829,59.74046339,59.06453,59.48475003,59.87523703,58.8963821,57.83640888,58.09461757,57.19053784,54.91486127,52.51780735,62.73637656,62.90340106
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.67294697,19.20911051,16.72123521,12.46567519,14.29077487,25.41373931,22.83718556,24.38730935,23.01766021,21.82825935,9.709979508,6.8546552,5.296648376,4.003317909,3.220765186,4.726182379,4.980865937,4.966863696,5.830601512,6.178835808,8.532623898,17.98039224,20.60832562,22.50860846,18.68538681,17.6561829,21.32723232,26.44681055
