指标,国内生产总值(亿元),人均国内生产总值(元),城镇登记失业人数(万人),城镇登记失业率(%),居民人均消费支出(元),居民人均消费支出比上年增长(%),居民恩格尔系数(%),居民人均可支配收入(元),居民人均可支配收入比上年增长(%),全社会固定资产投资(亿元),全社会固定资产投资比上年增长(%),商品出口贸易总额(亿美元),商品进口贸易总额(亿美元),准货币供应量(亿元),居民消费价格指数(1978=100)
1990年,18872.9,1663,383,2.5,768,4.6,56.8,904,9.1,4517,2.4,,,8342.7,216.4
1991年,22005.6,1912,352,2.3,844,6.3,55.9,976,4.4,5594.5,23.9,,,10716.6,223.8
1992年,27194.5,2334,364,2.3,937,4.3,55.3,1125,8.4,8080.1,44.4,,,13670.7,238.1
1993年,35673.2,3027,420,2.6,1145,6.5,54,1385,7.3,13072.3,61.8,,,18599.4,273.1
1994年,48637.5,4081,476,2.8,1540,8.4,54.1,1870,8.8,17042.1,30.4,,,26382.8,339
1995年,61339.9,5091,520,2.9,1957,8.5,54.1,2363,7.9,20019.3,17.5,1487.8,1320.78,36763.4,396.9
1996年,71813.6,5898,553,3,2288,7.9,52.3,2814,9.9,22974,14.8,,,47580.1,429.9
1997年,79715,6481,577,3.1,2437,3.6,50.3,3070,6.1,24941.1,8.8,,,56169.1,441.9
1998年,85195.5,6860,571,3.1,2516,4.1,48,3254,6.9,28406.2,13.9,,,65544.9,438.4
1999年,90564.4,7229,575,3.1,2658,7.1,45.5,3485,8.6,29854.7,5.1,,,74060.6,432.2
2000年,100280.1,7942,595,3.1,2914,9.2,42.2,3721,6.4,32917.7,10.3,2492,2250.9,81463.1,434
2001年,110863.1,8717,681,3.6,3139,7,40.5,4070,8.6,37213.5,13,,,98430.3,437
2002年,121717.4,9506,770,4,3548,13.9,39.2,4532,12.2,43499.9,16.9,,,114125.2,433.5
2003年,137422,10666,800,4.3,3889,8.3,38.1,5007,9.2,53841.2,23.8,,,137104.3,438.7
2004年,161840.2,12487,827,4.2,4395,8.8,38.8,5661,8.8,66235,23,5933.69,5614.23,158137.2,455.8
2005年,187318.9,14368,839,4.2,5035,12.5,37.3,6385,10.8,80993.6,22.3,7619.5,6599.5,191476.91,464
2006年,219438.5,16738,847,4.1,5634,10.2,35.5,7229,11.5,97583.1,20.5,9689.4,7914.6,219549.9,471
2007年,270092.3,20494,830,4,6592,11.6,35.6,8584,13.3,118323.2,21.3,12180.15,9558.18,250882.1,493.6
2008年,319244.6,24100,886,4.2,7548,8.1,36.3,9957,9.5,144586.8,22.2,14306.93,11325.67,308949.47,522.7
2009年,348517.7,26180,921,4.3,8377,11.8,34.3,10977,11,181760.4,25.7,12016.12,10059.23,388778.7,519
2010年,412119.3,30808,908,4.1,9378,8.4,33.4,12520,10.4,218833.6,20.4,15779.32,13948.29,459230.3,536.1
2011年,487940.2,36277,922,4.1,10820,9.5,33.6,14551,10.3,238782.1,20.1,18985.95,17433.42,561743.22,565
2012年,538580,39771,917,4.1,12054,8.6,33,16510,10.6,281683.8,18,20490,18178,665484.6,579.7
2013年,592963.2,43497,926,4.1,13220,6.9,31.2,18311,8.1,329318.3,16.9,22100,19503,769233.93,594.8
2014年,643563.1,46912,952,4.1,14491,7.5,31,20167,8,373636.9,13.5,23427,19603,880318.4,606.7
2015年,688858.2,49922,966,4.1,15712,6.9,30.6,21966,7.4,405927.7,8.6,22749.5,16819.51,991324.67,615.2
2016年,746395.1,53783,982,4,17111,6.8,30.1,23821,6.3,434363.5,7,20974.37,15874.77,1063509.43,627.5
2017年,832035.9,59592,972,3.9,18322,5.4,29.3,25974,7.3,461283.7,6.2,22633.71,18437.93,1146445.17,637.5
2018年,919281.1,65534,974,3.8,19853,6.2,28.4,28228,6.5,488499.4,5.9,24866.82,21357.34,1275058.3,650.9
2019年,986515.2,70078,945,3.6,21559,5.5,28.2,30733,5.8,513608.3,5.1,24994.82,20784.09,1410479.67,669.8
2020年,1013567,71828,1160,4.2,21210,-4,30.2,32189,2.1,527270.3,2.7,25899.5,20659.6,1561214.9,686.5
2021年,1149237,81370,1040,4,24100,12.6,29.8,35128,8.1,552884.2,4.9,33630.2,26871.4,1735456.21,692.7
2022年,1210207.2,85698,1040,4,24538,-0.2,30.5,36883,2.9,579556,4.9,,,1913543.34,695.5
