指标,货币和准货币(M2)供应量(亿元),货币(M1)供应量(亿元),流通中现金(M0)供应量(亿元),货币供应量中活期存款供应量(亿元),准货币供应量(亿元),准货币供应量定期存款(亿元),准货币供应量储蓄存款(亿元),准货币供应量其他存款(亿元),货币和准货币(M2)供应量同比增长率(%),货币(M1)供应量同比增长率(%),流通中现金(M0)供应量同比增长率(%),货币供应量中活期存款供应量同比增长率(%),准货币供应量同比增长率(%),准货币供应量定期存款同比增长率(%),准货币供应量储蓄存款同比增长率(%),准货币供应量其他存款同比增长率(%)
1978年,,,212,,,,,,,,,,,,,
1979年,,,267.7,,,,,,,,26.3,,,,,
1980年,,,346.2,,,,,,,,29.3,,,,,
1981年,,,396.3,,,,,,,,14.5,,,,,
1982年,,,439.1,,,,,,,,10.8,,,,,
1983年,,,529.8,,,,,,,,20.7,,,,,
1984年,,,792.1,,,,,,,,49.5,,,,,
1985年,,,987.8,,,,,,,,24.7,,,,,
1986年,,,1218.4,,,,,,,,23.3,,,,,
1987年,,,1454.5,,,,,,,,19.4,,,,,
1988年,,,2134,,,,,,,,46.7,,,,,
1989年,,,2344,,,,,,,,9.8,,,,,
1990年,15293.4,6950.7,2644.4,4306.3,8342.7,,,,,,12.8,,,,,
1991年,19349.9,8633.3,3177.8,5455.5,10716.6,,,,26.5,24.2,20.2,26.7,28.5,,,
1992年,25402.2,11731.5,4336,7395.2,13670.7,,,,31.3,35.9,36.4,35.6,27.6,,,
1993年,34879.8,16280.4,5864.7,10415.7,18599.4,1247.9,15203.5,2148,,,,,,,,
1994年,46923.5,20540.7,7288.6,13252.1,26382.8,1943.1,21518.8,2920.9,34.5,26.2,24.3,27.2,41.9,55.7,41.5,36
1995年,60750.5,23987.1,7885.3,16101.8,36763.4,3324.2,29662.2,3777,29.5,16.8,8.2,21.5,39.4,71.1,37.9,29.3
1996年,76094.9,28514.8,8802,19712.8,47580.1,5041.9,38520.8,4017.4,25.3,18.9,11.6,22.4,29.4,51.7,29.9,6.4
1997年,90995.3,34826.3,10177.6,24648.7,56169.1,6738.5,46279.8,3150.7,17.3,16.5,15.6,16.9,17.8,24.5,19.3,-8.9
1998年,104498.5,38953.7,11204.2,27749.5,65544.9,8301.9,53407.5,3835.5,14.8,11.9,10.1,12.6,16.7,23.2,15.4,21.7
1999年,119897.9,45837.3,13455.5,32381.8,74060.6,9476.8,59621.8,4962,14.7,17.7,20.1,16.7,13,14.2,11.6,29.3
2000年,134610.3,53147.2,14652.7,38494.5,81463.1,11261.1,64332.4,5869.7,12.3,16,8.9,18.9,10,18.8,7.9,18.3
2001年,158301.9,59871.59,15688.8,44182.8,98430.3,14180.1,73762.4,10487.8,14.4,12.7,7.1,14.8,15.5,25.9,14.7,9.1
2002年,185006.97,70881.79,17278.03,53603.8,114125.2,16433.8,86910.7,10780.7,16.8,16.8,10.1,19.2,16.8,21.8,17.8,2.8
2003年,221222.8,84118.57,19745.9,64372.6,137104.3,20940.4,103617.7,12546.2,19.6,18.7,14.3,20.3,20.1,27.4,19.2,16.4
2004年,254107,95969.7,21468.3,74501.4,158137.2,25382.2,119555.4,13199.7,14.7,13.6,8.7,15.1,15.3,21.2,15.4,5.2
2005年,298755.7,107278.8,24031.7,83247.09,191476.91,33099.99,141050.99,17325.93,17.6,11.8,11.9,11.7,21.1,30.4,18,31.3
2006年,345577.9,126028.1,27072.62,98955.4,219549.9,38715.9,161587.3,19246.7,16.9,17.5,12.7,18.9,16.6,17.1,14.6,36.2
2007年,403442.21,152560.08,30375.23,122184.9,250882.1,46932.51,172534.19,31415.43,16.7,21.1,12.2,23.5,14.3,21.2,6.8,63.2
2008年,475166.6,166217.13,34218.96,131998.17,308949.47,60103.06,217885.35,30961.06,17.8,9.1,12.7,8.2,23.2,28.1,26.3,-1.5
2009年,610224.5,221445.8,38247,183198.8,388778.7,84819.5,260752.7,43206.5,28.5,33.2,11.8,38.8,26,42,19.7,39.6
