,Country Name,Year,Count
3888,Aruba,1978,60103
3889,Afghanistan,1978,13341198
3890,Angola,1978,7790707
3891,Albania,1978,2566266
3892,Andorra,1978,33737
3893,United Arab Emirates,1978,835508
3894,Argentina,1978,27061047
3895,Armenia,1978,2997417
3896,American Samoa,1978,31269
3897,Antigua and Barbuda,1978,62036
3898,Australia,1978,14358000
3899,Austria,1978,7562305
3900,Azerbaijan,1978,5957925
3901,Burundi,1978,3949266
3902,Belgium,1978,9839534
3903,Benin,1978,3523938
3904,Burkina Faso,1978,6530819
3905,Bangladesh,1978,75450032
3906,Bulgaria,1978,8814032
3907,Bahrain,1978,323473
3908,"Bahamas, The",1978,201478
3909,Bosnia and Herzegovina,1978,4100349
3910,Belarus,1978,9525000
3911,Belize,1978,138965
3912,Bermuda,1978,53600
3913,Bolivia,1978,5344939
3914,Brazil,1978,115121153
3915,Barbados,1978,250203
3916,Brunei Darussalam,1978,181205
3917,Bhutan,1978,383326
3918,Botswana,1978,832467
3919,Central African Republic,1978,2087663
3920,Canada,1978,23963203
3921,Switzerland,1978,6281738
3922,Channel Islands,1978,127390
3923,Chile,1978,11089165
3924,China,1978,956165000
3925,Cote d'Ivoire,1978,7350270
3926,Cameroon,1978,8121084
3927,"Congo, Dem. Rep.",1978,24956385
3928,"Congo, Rep.",1978,1677332
3929,Colombia,1978,25733673
3930,Comoros,1978,286634
3931,Cabo Verde,1978,276174
3932,Costa Rica,1978,2264946
3933,Caribbean small states,1978,5360561
3934,Cuba,1978,9724044
3935,Curacao,1978,148341
3936,Cayman Islands,1978,14683
3937,Cyprus,1978,673247
3938,Czech Republic,1978,10242098
3939,Germany,1978,78091820
3940,Djibouti,1978,308008
3941,Dominica,1978,74284
3942,Denmark,1978,5104248
3943,Dominican Republic,1978,5539590
3944,Algeria,1978,18102266
3945,Ecuador,1978,7582353
3946,"Egypt, Arab Rep.",1978,41275736
3947,Eritrea,1978,1636769
3948,Spain,1978,36864898
3949,Estonia,1978,1460188
3950,Ethiopia,1978,33993301
3951,Finland,1978,4752528
3952,Fiji,1978,609383
3953,France,1978,54691851
3954,Faroe Islands,1978,42538
3955,"Micronesia, Fed. Sts.",1978,68194
3956,Gabon,1978,692077
3957,United Kingdom,1978,56196504
3958,Georgia,1978,4397700
3959,Ghana,1978,10590261
3960,Gibraltar,1978,30232
3961,Guinea,1978,4702376
3962,"Gambia, The",1978,596536
3963,Guinea-Bissau,1978,772142
3964,Equatorial Guinea,1978,239678
3965,Greece,1978,9429959
3966,Grenada,1978,89101
3967,Greenland,1978,49200
3968,Guatemala,1978,6933906
3969,Guam,1978,99630
3970,Guyana,1978,770125
3971,"Hong Kong SAR, China",1978,4667500
3972,Honduras,1978,3458095
3973,Croatia,1978,4581085
3974,Haiti,1978,5404019
3975,Hungary,1978,10684822
3976,Indonesia,1978,140621730
3977,Isle of Man,1978,62262
3978,India,1978,667499806
3979,Ireland,1978,3329100
3980,"Iran, Islamic Rep.",1978,35960805
3981,Iraq,1978,12860680
3982,Iceland,1978,223537
3983,Israel,1978,3690000
3984,Italy,1978,56155143
3985,Jamaica,1978,2105907
3986,Jordan,1978,2237943
3987,Japan,1978,114898000
3988,Kazakhstan,1978,14499952
3989,Kenya,1978,15205374
3990,Kyrgyz Republic,1978,3487100
3991,Cambodia,1978,6957265
3992,Kiribati,1978,57618
3993,St. Kitts and Nevis,1978,43708
3994,"Korea, Rep.",1978,36969185
3995,Kuwait,1978,1224067
3996,Lao PDR,1978,3168843
3997,Lebanon,1978,2597205
3998,Liberia,1978,1740914
3999,Libya,1978,2979093
4000,St. Lucia,1978,114400
4001,Liechtenstein,1978,24975
4002,Sri Lanka,1978,14533690
4003,Lesotho,1978,1265202
4004,Lithuania,1978,3379514
4005,Luxembourg,1978,362007
4006,Latvia,1978,2497921
4007,"Macao SAR, China",1978,235171
4008,St. Martin (French part),1978,8190
4009,Morocco,1978,19059770
4010,Monaco,1978,26087
4011,Moldova,1978,3339000
4012,Madagascar,1978,8230218
4013,Maldives,1978,148780
4014,Mexico,1978,64494869
4015,Marshall Islands,1978,28406
4016,North Macedonia,1978,1877688
4017,Mali,1978,6831085
4018,Malta,1978,310182
4019,Myanmar,1978,32748784
4020,Montenegro,1978,562065
4021,Mongolia,1978,1603906
4022,Northern Mariana Islands,1978,15170
4023,Mozambique,1978,11041204
4024,Mauritania,1978,1453032
