,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
15694,Aruba,ABW,2019,3310055866.0,31135.88436
15695,Africa Eastern and Southern,AFE,2019,997534000000.0,1511.309259
15696,Afghanistan,AFG,2019,18799450743.0,494.1793499
15697,Africa Western and Central,AFW,2019,794543000000.0,1777.852822
15698,Angola,AGO,2019,69309104807.0,2177.799015
15699,Albania,ALB,2019,15401830754.0,5396.215864
15700,Andorra,AND,2019,3155149348.0,40898.41791
15701,Arab World,ARB,2019,2808100000000.0,6562.969998
15702,United Arab Emirates,ARE,2019,417216000000.0,42701.44305
15703,Argentina,ARG,2019,452818000000.0,10076.35524
15704,Armenia,ARM,2019,13619291361.0,4604.646324
15705,American Samoa,ASM,2019,648000000.0,11715.36014
15706,Antigua and Barbuda,ATG,2019,1687533333.0,17376.64968
15707,Australia,AUS,2019,1391950000000.0,54875.28596
15708,Austria,AUT,2019,445012000000.0,50114.40111
15709,Azerbaijan,AZE,2019,48174235294.0,4805.753718
15710,Burundi,BDI,2019,2581268126.0,223.8628757
15711,Belgium,BEL,2019,535376000000.0,46599.11134
15712,Benin,BEN,2019,14391686633.0,1219.515506
15713,Burkina Faso,BFA,2019,16178162030.0,796.1152068
15714,Bangladesh,BGD,2019,351238000000.0,2154.226819
15715,Bulgaria,BGR,2019,68915416142.0,9879.268533
15716,Bahrain,BHR,2019,38653318085.0,23552.37995
15717,"Bahamas, The",BHS,2019,13192800000.0,33872.33431
15718,Bosnia and Herzegovina,BIH,2019,20201323283.0,6119.762351
15719,Belarus,BLR,2019,64409647194.0,6837.717826
15720,Belize,BLZ,2019,1945250236.0,4983.336114
15721,Bermuda,BMU,2019,7423465000.0,116153.1661
15722,Bolivia,BOL,2019,40895322851.0,3552.068144
15723,Brazil,BRA,2019,1873290000000.0,8876.059836
15724,Barbados,BRB,2019,5304164323.0,18480.05659
15725,Brunei Darussalam,BRN,2019,13469422959.0,31085.96193
15726,Bhutan,BTN,2019,2535657069.0,3322.863329
15727,Botswana,BWA,2019,16695925027.0,7247.429476
15728,Central African Republic,CAF,2019,2221301401.0,468.1175148
15729,Canada,CAN,2019,1742020000000.0,46328.67184
15730,Central Europe and the Baltics,CEB,2019,1673860000000.0,16346.56181
15731,Switzerland,CHE,2019,731767000000.0,85334.51946
15732,Channel Islands,CHI,2019,,
15733,Chile,CHL,2019,278585000000.0,14699.46278
15734,China,CHN,2019,14279900000000.0,10143.8382
15735,Cote d'Ivoire,CIV,2019,58539424930.0,2276.332394
15736,Cameroon,CMR,2019,39670977333.0,1533.095688
15737,"Congo, Dem. Rep.",COD,2019,51775830726.0,596.5605701
15738,"Congo, Rep.",COG,2019,12750338736.0,2369.729441
15739,Colombia,COL,2019,323110000000.0,6418.615783
15740,Comoros,COM,2019,1195019559.0,1404.433187
15741,Cabo Verde,CPV,2019,1981845741.0,3603.775241
15742,Costa Rica,CRI,2019,64417670083.0,12762.13801
15743,Caribbean small states,CSS,2019,77023818121.0,10406.67071
15744,Cuba,CUB,2019,103428000000.0,9125.878679
15745,Curacao,CUW,2019,2995185487.0,19024.17723
15746,Cayman Islands,CYM,2019,5943589096.0,91513.04267
15747,Cyprus,CYP,2019,25758357775.0,29206.07617
15748,Czech Republic,CZE,2019,252498000000.0,23660.14881
15749,Germany,DEU,2019,3888330000000.0,46794.89929
15750,Djibouti,DJI,2019,3088853639.0,3172.750685
15751,Dominica,DMA,2019,611537037.0,8516.280039
15752,Denmark,DNK,2019,347561000000.0,59775.7351
15753,Dominican Republic,DOM,2019,88941299734.0,8282.117131
15754,Algeria,DZA,2019,171767000000.0,3989.668276
15755,East Asia & Pacific (excluding high income),EAP,2019,17203900000000.0,8177.838
15756,Early-demographic dividend,EAR,2019,11643800000000.0,3538.833413
15757,East Asia & Pacific,EAS,2019,27024100000000.0,11494.09153
15758,Europe & Central Asia (excluding high income),ECA,2019,3249710000000.0,8136.751834
15759,Europe & Central Asia,ECS,2019,22941600000000.0,24914.60337
15760,Ecuador,ECU,2019,108108000000.0,6222.524653
15761,"Egypt, Arab Rep.",EGY,2019,303081000000.0,3019.092283
15762,Euro area,EMU,2019,13416100000000.0,39195.77483
15763,Eritrea,ERI,2019,,
15764,Spain,ESP,2019,1393050000000.0,29554.49052
15765,Estonia,EST,2019,31045591753.0,23397.87826
15766,Ethiopia,ETH,2019,95912590628.0,855.7608852
15767,European Union,EUU,2019,15691900000000.0,35089.28279
15768,Fragile and conflict affected situations,FCS,2019,1689420000000.0,1797.209467
15769,Finland,FIN,2019,268508000000.0,48628.64176
15770,Fiji,FJI,2019,5496264766.0,6175.890653
